barcode,sample_id,reads
TCGA-OR-A5K5-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_AGTCAA_L003,54582886
TCGA-OR-A5JY-01A-31R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_TAGCTT_L006,60679280
TCGA-OR-A5K8-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_CTTGTA_L003,29590880
TCGA-OR-A5J9-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GCCAAT_L005,73953178
TCGA-OR-A5JE-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_CAGATC_L005,53602762
TCGA-OR-A5J3-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GTTTCG_L002,51927861
TCGA-OR-A5JM-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_TAGCTT_L004,57292617
TCGA-OR-A5J5-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GCCAAT_L004,62890507
TCGA-OU-A5PI-01A-12R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_AGTTCC_L008,42642140
TCGA-PK-A5HB-01A-11R-A29S-07,130806_UNC13-SN749_0298_BC2E3KACXX_AGTCAA_L002,63256260
TCGA-OR-A5JF-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_AGTCAA_L006,82940639
TCGA-OR-A5LM-01A-11R-A29S-07,130807_UNC12-SN629_0325_BD2BD7ACXX_ATCACG_L008,60134366
TCGA-OR-A5JW-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_ACTTGA_L005,63374510
TCGA-OR-A5K9-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GATCAG_L007,58139705
TCGA-OR-A5KO-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GGCTAC_L007,55732417
TCGA-OR-A5L8-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_TTAGGC_L008,61061287
TCGA-OR-A5J7-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_AGTTCC_L004,70710562
TCGA-OR-A5LO-01A-11R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GGCTAC_L001,65322344
TCGA-OR-A5KX-01A-11R-A29S-07,130806_UNC13-SN749_0298_BC2E3KACXX_AGTTCC_L002,59484182
TCGA-OR-A5KV-01A-11R-A29S-07,130807_UNC12-SN629_0325_BD2BD7ACXX_GATCAG_L007,65920995
TCGA-OR-A5L3-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_ATCACG_L007,60120060
TCGA-OR-A5LB-01A-11R-A29S-07,130723_UNC9-SN296_0386_BC2E4WACXX_GTGGCC_L008,53536748
TCGA-OR-A5LE-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_ACAGTG_L006,40905435
TCGA-OR-A5K0-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_CGATGT_L001,43961867
TCGA-OR-A5LD-01A-11R-A29S-07,130730_UNC13-SN749_0297_AD2BM6ACXX_CGATGT_L006,36697144
TCGA-P6-A5OF-01A-11R-A29S-07,130807_UNC12-SN629_0325_BD2BD7ACXX_TTAGGC_L008,68200794
TCGA-P6-A5OG-01A-22R-A29S-07,130729_UNC12-SN629_0323_AC2DMAACXX_GATCAG_L002,61147034
