#chain	Abundance	Richness	CPK	Entropy	Clonality
IGH	7	2	285.7142857142857	0.5982695885852573	0.1368794314333689
IGHM	0	0	NA	NA	NA
IGHD	0	0	NA	NA	NA
IGHG3	0	0	NA	NA	NA
IGHG1	6	2	333.3333333333333	0.6365141682948128	0.08170416594551055
IGHA1	0	0	NA	NA	NA
IGHG2	0	0	NA	NA	NA
IGHG4	0	0	NA	NA	NA
IGHE	0	0	NA	NA	NA
IGHA2	0	0	NA	NA	NA
IGK	16	6	375.0	1.5481155268740174	0.13598027332262785
IGL	4	2	500.0	0.5623351446188083	0.18872187554086717
TRA	7	5	714.2857142857143	1.5498260458782016	0.037038935205485624
TRB	25	6	240.0	0.9256504262569103	0.4833846606343267
TRG	0	0	NA	NA	NA
TRD	0	0	NA	NA	NA
