"chain"	"Abundance"	"Richness"	"CPK"	"Entropy"	"Clonality"
"IGH"	0	0	NA	0	1
"IGK"	3	3	1000	1.09861228866811	2.22044604925031e-16
"IGL"	5	3	600	1.05492016798614	0.0397702821392388
"TRA"	0	0	NA	0	1
"TRB"	2	1	500	0	NA
"TRG"	0	0	NA	0	1
"TRD"	0	0	NA	0	1
