"chain"	"Abundance"	"Richness"	"CPK"	"Entropy"	"Clonality"
"IGH"	179	6	33.5195530726257	0.817626222421395	0.543674116719666
"IGK"	345	40	115.942028985507	2.85474576828983	0.226121155814366
"IGL"	462	27	58.4415584415584	0.966239069252054	0.706830432289125
"TRA"	103	15	145.631067961165	1.3920525741469	0.485957618665889
"TRB"	246	30	121.951219512195	1.93128453763229	0.432175107494503
"TRG"	2	1	500	0	NA
"TRD"	1	1	1000	0	NA
